"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1573
0.002,1573
0.003,1573
0.004,1573
0.005,1573.00000000001
0.006,1573.00000000005
0.007,1573.00000000018
0.008,1573.00000000055
0.009,1573.00000000148
0.01,1573.00000000366
0.011,1573.00000000842
0.012,1573.00000001815
0.013,1573.00000003697
0.014,1573.00000007157
0.015,1573.00000013241
0.016,1573.0000002352
0.017,1573.00000040266
0.018,1573.00000066671
0.019,1573.00000107082
0.02,1573.00000167269
0.021,1573.00000254706
0.022,1573.00000378861
0.023,1573.00000551489
0.024,1573.00000786907
0.025,1573.00001102259
0.026,1573.00001517738
0.027,1573.00002056784
0.028,1573.00002746229
0.029,1573.00003616388
0.03,1573.00004701112
0.031,1573.00006037766
0.032,1573.0000766717
0.033,1573.00009633462
0.034,1573.00011983945
0.035,1573.00014768856
0.036,1573.00018041112
0.037,1573.00021856012
0.038,1573.00026270912
0.039,1573.00031344884
0.04,1573.00037138345
0.041,1573.00043712691
0.042,1573.0005112992
0.043,1573.00059452254
0.044,1573.00068741774
0.045,1573.00079060067
0.046,1573.00090467877
0.047,1573.0010302479
0.048,1573.00116788927
0.049,1573.00131816669
0.05,1573.00148162398
0.051,1573.00165878275
0.052,1573.0018501403
0.053,1573.00205616858
0.054,1573.00227731036
0.055,1573.00251398072
0.056,1573.0027665648
0.057,1573.00303541712
0.058,1573.00332086101
0.059,1573.00362318831
0.06,1573.0039426592
0.061,1573.00427950222
0.062,1573.00463391449
0.063,1573.00500606205
0.064,1573.00539608028
0.065,1573.00580407461
0.066,1573.00623012111
0.067,1573.00667426735
0.068,1573.00713653328
0.069,1573.00761691211
0.07,1573.00811537141
0.071,1573.00863185403
0.0720000000000001,1573.0091662793
0.0730000000000001,1573.00971854404
0.0740000000000001,1573.01028852372
0.0750000000000001,1573.0108760736
0.0760000000000001,1573.01148102984
0.0770000000000001,1573.01210321065
0.0780000000000001,1573.01274241739
0.0790000000000001,1573.0133984357
0.0800000000000001,1573.0140710366
0.0810000000000001,1573.0147599775
