"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1173
0.002,1173.00000000002
0.003,1173.00000000013
0.004,1173.0000000007
0.005,1173.000000003
0.006,1173.00000001062
0.007,1173.00000003255
0.008,1173.00000008862
0.009,1173.00000021859
0.01,1173.00000049602
0.011,1173.00000104766
0.012,1173.0000020791
0.013,1173.00000390647
0.014,1173.00000699366
0.015,1173.00001199352
0.016,1173.00001979141
0.017,1173.00003154848
0.018,1173.00004874253
0.019,1173.00007320383
0.02,1173.00010714375
0.021,1173.00015317449
0.022,1173.00021431864
0.023,1173.00029400785
0.024,1173.00039607058
0.025,1173.00052470939
0.026,1173.00068446856
0.027,1173.00088019376
0.028,1173.00111698323
0.029,1173.00140013639
0.03,1173.00173509691
0.031,1173.0021273945
0.032,1173.00258258647
0.033,1173.0031062002
0.034,1173.00370367804
0.035,1173.00438032546
0.036,1173.00514126325
0.037,1173.00599138453
0.038,1173.00693531677
0.039,1173.00797738918
0.04,1173.00912160548
0.041,1173.01037162206
0.042,1173.01173073126
0.043,1173.01320185441
0.044,1173.01478751873
0.045,1173.01648987275
0.046,1173.01831067956
0.047,1173.02025132145
0.048,1173.02231280739
0.049,1173.0244957831
0.05,1173.02680054324
0.051,1173.02922704555
0.052,1173.03177492632
0.053,1173.03444351715
0.054,1173.03723186248
0.055,1173.04013873778
0.056,1173.04316266803
0.057,1173.04630194637
0.058,1173.04955465276
0.059,1173.05291867231
0.06,1173.05639171341
0.061,1173.05997132532
0.062,1173.06365491524
0.063,1173.06743976474
0.064,1173.07132304559
0.065,1173.07530183473
0.066,1173.07937312864
0.067,1173.08353385679
0.068,1173.08778089443
0.069,1173.09211107453
0.07,1173.09652119258
0.071,1173.10100803717
0.0720000000000001,1173.10556837773
0.0730000000000001,1173.11019898211
0.0740000000000001,1173.11489662427
0.0750000000000001,1173.1196580918
0.0760000000000001,1173.1244801928
0.0770000000000001,1173.12935976216
0.0780000000000001,1173.13429366723
0.0790000000000001,1173.13927881293
0.0800000000000001,1173.14431214634
