"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.0005,1173
0.001,1173
0.0015,1173
0.002,1173
0.0025,1173.00000000001
0.003,1173.00000000002
0.0035,1173.00000000007
0.004,1173.0000000002
0.0045,1173.00000000053
0.005,1173.0000000013
0.0055,1173.00000000298
0.006,1173.00000000636
0.0065,1173.00000001283
0.007,1173.00000002457
0.0075,1173.00000004495
0.008,1173.00000007898
0.0085,1173.00000013387
0.009,1173.00000021969
0.00950000000000001,1173.00000035017
0.01,1173.00000054363
0.0105,1173.00000082397
0.011,1173.00000122184
0.0115,1173.00000177587
0.012,1173.00000253398
0.0125,1173.00000355478
0.013,1173.00000490902
0.0135,1173.00000668105
0.014,1173.00000897031
0.0145,1173.0000118928
0.015,1173.00001558251
0.0155,1173.00002019281
0.016,1173.00002589773
0.0165,1173.00003289347
0.017,1173.00004139843
0.0175,1173.00005165542
0.018,1173.00006393185
0.0185,1173.00007852046
0.019,1173.00009573981
0.0195,1173.00011593452
0.02,1173.00013947545
0.0205,1173.00016675966
0.021,1173.00019821011
0.0215,1173.0002342753
0.022,1173.00027542871
0.0225,1173.00032216799
0.023,1173.00037501415
0.0235,1173.00043451046
0.024,1173.00050122127
0.0245,1173.0005757308
0.025,1173.00065864161
0.0255,1173.00075057321
0.026,1173.00085216039
0.0265,1173.00096405162
0.027,1173.00108690729
0.0275,1173.00122139798
0.028,1173.00136820267
0.0285,1173.00152800691
0.029,1173.001701501
0.0295,1173.0018893782
0.03,1173.0020923329
0.0305,1173.00231105885
0.031,1173.00254624742
0.0315,1173.0027985859
0.032,1173.0030687558
0.0325,1173.00335744075
0.033,1173.00366529137
0.0335,1173.00399296582
0.034,1173.00434110819
0.0345,1173.00471034879
0.035,1173.00510130341
0.0355,1173.0055145722
0.036,1173.00595073863
0.0365,1173.00641036848
0.037,1173.00689400892
0.0375,1173.00740218763
0.038,1173.00793541209
0.0385,1173.00849416881
0.039,1173.00907892277
0.0395,1173.00969011688
0.04,1173.0103281715
0.0405,1173.01099348408
0.041,1173.0116864288
0.0415,1173.0124073564
0.042,1173.01315659392
0.0425,1173.01393444466
0.043,1173.01474118804
0.0435,1173.01557707969
0.044,1173.01644235145
0.0445,1173.0173372115
0.045,1173.0182618445
0.0455,1173.01921641184
0.046,1173.02020105181
0.0465,1173.02121587995
0.047,1173.02226098934
0.0475,1173.02333645097
0.048,1173.0244423141
0.0485,1173.02557860671
0.049,1173.02674533591
0.0495,1173.02794248841
0.05,1173.02917003098
0.0505,1173.03042791102
0.051,1173.03171605698
0.0515,1173.03303437896
0.052,1173.03438276921
0.0525,1173.03576110271
0.053,1173.03716923771
0.0535,1173.03860701627
0.054,1173.04007426488
0.0545,1173.04157079499
0.055,1173.04309640358
0.0555,1173.04465087377
0.056,1173.04623397534
0.0565,1173.04784546531
0.057,1173.04948508852
0.0575,1173.0511525782
0.058,1173.05284765646
0.0585,1173.0545700349
0.059,1173.05631941513
0.0595,1173.05809548927
0.06,1173.05989794051
0.0605,1173.06172644362
0.061,1173.06358066543
0.0615,1173.06546026534
0.062,1173.0673648958
0.0625,1173.06929420278
0.063,1173.07124782622
0.0635,1173.0732254005
0.064,1173.07522655488
0.0645,1173.0772509139
0.065,1173.0792980978
0.0655,1173.08136772296
0.066,1173.08345940225
0.0665,1173.0855727454
0.067,1173.08770735943
0.0675,1173.08986284893
0.068,1173.09203881644
0.0685,1173.0942348628
0.069,1173.09645058743
0.0695,1173.09868558867
0.07,1173.10093946404
0.0705,1173.10321181058
0.071,1173.10550222507
0.0715000000000001,1173.10781030433
0.0720000000000001,1173.11013564547
0.0725000000000001,1173.11247784611
0.0730000000000001,1173.11483650462
0.0735000000000001,1173.11721122038
0.0740000000000001,1173.11960159392
0.0745000000000001,1173.1220072272
0.0750000000000001,1173.12442772375
0.0755000000000001,1173.12686268888
0.0760000000000001,1173.12931172984
0.0765000000000001,1173.131774456
0.0770000000000001,1173.13425047899
0.0775000000000001,1173.13673941288
0.0780000000000001,1173.1392408743
0.0785000000000001,1173.14175448255
0.0790000000000001,1173.1442798598
0.0795000000000001,1173.14681663111
0.0800000000000001,1173.14936442464
0.0805000000000001,1173.15192287169
0.0810000000000001,1173.1544916068
0.0815000000000001,1173.1570702679
0.0820000000000001,1173.15965849632
0.0825000000000001,1173.16225593692
0.0830000000000001,1173.16486223814
0.0835000000000001,1173.1674770521
0.0840000000000001,1173.1701000346
0.0845000000000001,1173.17273084524
0.0850000000000001,1173.17536914747
0.0855000000000001,1173.17801460857
0.0860000000000001,1173.18066689978
0.0865000000000001,1173.18332569627
0.0870000000000001,1173.18599067724
0.0875000000000001,1173.18866152587
0.0880000000000001,1173.19133792942
0.0885000000000001,1173.19401957922
0.0890000000000001,1173.19670617067
0.0895000000000001,1173.1993974033
0.0900000000000001,1173.20209298075
0.0905000000000001,1173.20479261079
0.0910000000000001,1173.20749600532
0.0915000000000001,1173.21020288038
0.0920000000000001,1173.21291295615
0.0925000000000001,1173.21562595694
0.0930000000000001,1173.21834161118
0.0935000000000001,1173.22105965145
0.0940000000000001,1173.22377981442
0.0945000000000001,1173.22650184088
0.0950000000000001,1173.22922547569
0.0955000000000001,1173.23195046779
0.0960000000000001,1173.23467657018
0.0965000000000001,1173.2374035399
0.0970000000000001,1173.24013113799
0.0975000000000001,1173.2428591295
0.0980000000000001,1173.24558728343
0.0985000000000001,1173.24831537276
0.0990000000000001,1173.25104317434
0.0995000000000001,1173.25377046895
0.1,1173.25649704122
0.1005,1173.2592226796
0.101,1173.26194717636
0.1015,1173.26467032753
0.102,1173.26739193288
0.1025,1173.27011179588
0.103,1173.27282972368
0.1035,1173.27554552706
0.104,1173.27825902039
0.1045,1173.28097002162
0.105,1173.28367835221
0.1055,1173.28638383714
0.106,1173.28908630482
0.1065,1173.29178558708
0.107,1173.29448151913
0.1075,1173.29717393953
0.108,1173.29986269012
0.1085,1173.30254761602
0.109,1173.30522856557
0.1095,1173.3079053903
0.11,1173.31057794487
0.1105,1173.31324608705
0.111,1173.31590967771
0.1115,1173.31856858069
0.112,1173.32122266288
0.1125,1173.32387179407
0.113,1173.32651584698
0.1135,1173.32915469721
0.114,1173.33178822317
0.1145,1173.33441630609
0.115,1173.33703882994
0.1155,1173.33965568139
0.116,1173.34226674982
0.1165,1173.34487192722
0.117,1173.34747110819
0.1175,1173.3500641899
0.118,1173.35265107204
0.1185,1173.35523165678
0.119,1173.35780584876
0.1195,1173.36037355501
0.12,1173.36293468494
0.1205,1173.36548915033
0.121,1173.36803686522
0.1215,1173.37057774595
0.122,1173.37311171109
0.1225,1173.37563868138
0.123,1173.37815857977
0.1235,1173.3806713313
0.124,1173.38317686312
0.1245,1173.38567510443
0.125,1173.38816598647
0.1255,1173.39064944247
0.126,1173.39312540762
0.1265,1173.39559381903
0.127,1173.39805461571
0.1275,1173.40050773855
0.128,1173.40295313026
0.1285,1173.40539073533
0.129,1173.40782050007
0.1295,1173.4102423725
0.13,1173.41265630234
0.1305,1173.41506224103
0.131,1173.41746014162
0.1315,1173.4198499588
0.132,1173.42223164887
0.1325,1173.42460516968
0.133,1173.42697048062
0.1335,1173.42932754259
0.134,1173.43167631797
0.1345,1173.43401677062
0.135,1173.43634886581
0.1355,1173.43867257022
0.136,1173.44098785191
0.1365,1173.44329468029
0.137,1173.4455930261
0.1375,1173.4478828614
0.138,1173.4501641595
0.1385,1173.452436895
0.139,1173.45470104371
0.1395,1173.45695658266
0.14,1173.45920349005
0.1405,1173.46144174527
0.141,1173.46367132884
0.1415,1173.46589222239
0.142,1173.46810440865
0.1425,1173.47030787145
0.143,1173.47250259565
0.1435,1173.47468856716
0.144,1173.4768657729
0.1445,1173.47903420078
0.145,1173.4811938397
0.1455,1173.48334467949
0.146,1173.48548671096
0.1465,1173.48761992579
0.147,1173.48974431659
0.1475,1173.49185987685
0.148,1173.49396660091
0.1485,1173.49606448396
0.149,1173.49815352202
0.1495,1173.50023371194
0.15,1173.50230505133
0.1505,1173.5043675386
0.151,1173.50642117293
0.1515,1173.50846595422
0.152,1173.51050188311
0.1525,1173.51252896097
0.153,1173.51454718986
0.1535,1173.51655657251
0.154,1173.51855711235
0.1545,1173.52054881343
0.155,1173.52253168046
0.1555,1173.52450571879
0.156,1173.52647093436
0.1565,1173.52842733372
0.157,1173.530374924
0.1575,1173.53231371292
0.158,1173.53424370874
0.1585,1173.53616410003
0.159,1173.53807596427
0.1595,1173.53997917701
0.16,1173.5418737005
0.1605,1173.5437595241
0.161,1173.54563664755
0.1615,1173.54750507553
0.162,1173.5493648156
0.1625,1173.55121587713
0.163,1173.55305827085
0.1635,1173.5548920085
0.164,1173.55671710265
0.1645,1173.55853356657
0.165,1173.56034141414
0.1655,1173.5621406598
0.166,1173.5639313185
0.1665,1173.56571340566
0.167,1173.56748693714
0.1675,1173.56925192924
0.168,1173.57100839864
0.1685,1173.57275636241
0.169,1173.574495838
0.1695,1173.5762268432
0.17,1173.57794939614
0.1705,1173.5796635153
0.171,1173.58136921944
0.1715,1173.58306652767
0.172,1173.58475545935
0.1725,1173.58643603416
0.173,1173.58810827205
0.1735,1173.58977219323
0.174,1173.59142781817
0.1745,1173.5930751676
0.175,1173.59471426249
0.1755,1173.59634512405
0.176,1173.59796777369
0.1765,1173.59958223308
0.177,1173.60118852409
0.1775,1173.60278666879
0.178,1173.60437668944
0.1785,1173.60595860852
0.179,1173.60753244869
0.1795,1173.60909823278
0.18,1173.6106559838
0.1805,1173.61220572493
0.181,1173.61374747951
0.1815,1173.61528127105
0.182,1173.61680712319
0.1825,1173.61832505975
0.183,1173.61983510466
0.1835,1173.62133728199
0.184,1173.62283161597
0.1845,1173.62431813091
0.185,1173.62579685129
0.1855,1173.62726780167
0.186,1173.62873100675
0.1865,1173.6301864913
0.187,1173.63163428023
0.1875,1173.63307439854
0.188,1173.63450687132
0.1885,1173.63593172373
0.189,1173.63734898106
0.1895,1173.63875866864
0.19,1173.64016081191
0.1905,1173.64155543636
0.191,1173.64294256756
0.1915,1173.64432223116
0.192,1173.64569445285
0.1925,1173.64705925839
0.193,1173.6484166736
0.1935,1173.64976672436
0.194,1173.65110943657
0.1945,1173.65244483621
0.195,1173.65377294928
0.1955,1173.65509380184
0.196,1173.65640741996
0.1965,1173.65771382978
0.197,1173.65901305743
0.1975,1173.66030512909
0.198,1173.66159007098
0.1985,1173.66286790932
0.199,1173.66413867035
0.1995,1173.66540238034
0.2,1173.66665906557
0.2005,1173.66790875233
0.201,1173.66915146691
0.2015,1173.67038723563
0.202,1173.6716160848
0.2025,1173.67283804073
0.203,1173.67405312974
0.2035,1173.67526137815
0.204,1173.67646281226
0.2045,1173.67765745838
0.205,1173.67884534281
0.2055,1173.68002649182
0.206,1173.6812009317
0.2065,1173.68236868871
0.207,1173.68352978908
0.2075,1173.68468425905
0.208,1173.68583212482
0.2085,1173.68697341258
0.209,1173.68810814848
0.2095,1173.68923635867
0.21,1173.69035806927
0.2105,1173.69147330634
0.211,1173.69258209595
0.2115,1173.69368446412
0.212,1173.69478043685
0.2125,1173.69587004007
0.213,1173.69695329973
0.2135,1173.69803024171
0.214,1173.69910089184
0.2145,1173.70016527594
0.215,1173.70122341977
0.2155,1173.70227534907
0.216,1173.7033210895
0.2165,1173.70436066672
0.217,1173.7053941063
0.2175,1173.7064214338
0.218,1173.70744267471
0.2185,1173.70845785448
0.219,1173.70946699852
0.2195,1173.71047013216
0.22,1173.71146728071
0.2205,1173.7124584694
0.221,1173.71344372344
0.2215,1173.71442306794
0.222,1173.715396528
0.2225,1173.71636412863
0.223,1173.7173258948
0.2235,1173.71828185143
0.224,1173.71923202335
0.2245,1173.72017643535
0.225,1173.72111511217
0.2255,1173.72204807847
0.226,1173.72297535887
0.2265,1173.72389697789
0.227,1173.72481296002
0.2275,1173.72572332968
0.228,1173.72662811122
0.2285,1173.72752732893
0.229,1173.72842100702
0.2295,1173.72930916966
0.23,1173.73019184092
0.2305,1173.73106904484
0.231,1173.73194080536
0.2315,1173.73280714636
0.232,1173.73366809167
0.2325,1173.73452366503
0.233,1173.73537389011
0.2335,1173.73621879053
0.234,1173.73705838981
0.2345,1173.73789271143
0.235,1173.73872177877
0.2355,1173.73954561516
0.236,1173.74036424385
0.2365,1173.74117768801
0.237,1173.74198597075
0.2375,1173.74278911509
0.238,1173.74358714401
0.2385,1173.74438008038
0.239,1173.74516794701
0.2395,1173.74595076663
0.24,1173.74672856191
0.2405,1173.74750135544
0.241,1173.74826916972
0.2415,1173.7490320272
0.242,1173.74978995022
0.2425,1173.75054296108
0.243,1173.75129108199
0.2435,1173.75203433508
0.244,1173.7527727424
0.2445,1173.75350632595
0.245,1173.75423510761
0.2455,1173.75495910922
0.246,1173.75567835253
0.2465,1173.75639285922
0.247,1173.75710265087
0.2475,1173.75780774902
0.248,1173.7585081751
0.2485,1173.75920395047
0.249,1173.75989509644
0.2495,1173.7605816342
0.25,1173.76126358489
0.2505,1173.76194096957
0.251,1173.76261380921
0.2515,1173.76328212472
0.252,1173.76394593691
0.2525,1173.76460526654
0.253,1173.76526013428
0.2535,1173.7659105607
0.254,1173.76655656633
0.2545,1173.76719817159
0.255,1173.76783539685
0.2555,1173.76846826239
0.256,1173.7690967884
0.2565,1173.76972099501
0.257,1173.77034090227
0.2575,1173.77095653015
0.258,1173.77156789853
0.2585,1173.77217502724
0.259,1173.77277793601
0.2595,1173.77337664449
0.26,1173.77397117228
0.2605,1173.77456153887
0.261,1173.7751477637
0.2615,1173.77572986612
0.262,1173.77630786539
0.2625,1173.77688178073
0.263,1173.77745163124
0.2635,1173.77801743597
0.264,1173.7785792139
0.2645,1173.77913698391
0.265,1173.77969076481
0.2655,1173.78024057535
0.266,1173.78078643418
0.2665,1173.78132835991
0.267,1173.78186637102
0.2675,1173.78240048597
0.268,1173.78293072311
0.2685,1173.78345710072
0.269,1173.78397963702
0.2695,1173.78449835013
0.27,1173.78501325813
0.2705,1173.78552437898
0.271,1173.7860317306
0.2715,1173.78653533083
0.272,1173.78703519742
0.2725,1173.78753134807
0.273,1173.78802380038
0.2735,1173.7885125719
0.274,1173.78899768008
0.2745,1173.78947914232
0.275,1173.78995697594
0.2755,1173.79043119818
0.276,1173.79090182621
0.2765,1173.79136887714
0.277,1173.79183236799
0.2775,1173.7922923157
0.278,1173.79274873718
0.2785,1173.79320164921
0.279,1173.79365106855
0.2795,1173.79409701185
0.28,1173.79453949572
0.2805,1173.79497853667
0.281,1173.79541415116
0.2815,1173.79584635557
0.282,1173.7962751662
0.2825,1173.7967005993
0.283,1173.79712267104
0.2835,1173.79754139752
0.284,1173.79795679476
0.2845,1173.79836887873
0.285,1173.79877766532
0.2855,1173.79918317035
0.286,1173.79958540956
0.2865,1173.79998439865
0.287,1173.80038015323
0.2875,1173.80077268884
0.288,1173.80116202097
0.2885,1173.80154816502
0.289,1173.80193113633
0.2895,1173.80231095018
0.29,1173.80268762178
0.2905,1173.80306116626
0.291,1173.80343159871
0.2915,1173.80379893412
0.292,1173.80416318744
0.2925,1173.80452437354
0.293,1173.80488250723
0.2935,1173.80523760325
0.294,1173.80558967628
0.2945,1173.80593874092
0.295,1173.80628481173
0.2955,1173.80662790319
0.296,1173.80696802971
0.2965,1173.80730520565
0.297,1173.80763944528
0.2975,1173.80797076285
0.298,1173.8082991725
0.2985,1173.80862468834
0.299,1173.80894732439
0.2995,1173.80926709463
0.3,1173.80958401296
0.3005,1173.80989809323
0.301,1173.81020934923
0.3015,1173.81051779467
0.302,1173.8108234432
0.3025,1173.81112630844
0.303,1173.81142640391
0.3035,1173.81172374308
0.304,1173.81201833937
0.3045,1173.81231020613
0.305,1173.81259935666
0.3055,1173.81288580418
0.306,1173.81316956186
0.3065,1173.81345064282
0.307,1173.81372906011
0.3075,1173.81400482671
0.308,1173.81427795557
0.3085,1173.81454845956
0.309,1173.81481635148
0.3095,1173.81508164411
0.31,1173.81534435013
0.3105,1173.81560448219
0.311,1173.81586205288
0.3115,1173.8161170747
0.312,1173.81636956014
0.3125,1173.81661952161
0.313,1173.81686697145
0.3135,1173.81711192196
0.314,1173.81735438539
0.3145,1173.81759437392
0.315,1173.81783189968
0.3155,1173.81806697473
0.316,1173.81829961111
0.3165,1173.81852982076
0.317,1173.81875761559
0.3175,1173.81898300747
0.318,1173.81920600818
0.3185,1173.81942662946
0.319,1173.81964488301
0.3195,1173.81986078045
0.32,1173.82007433338
0.3205,1173.82028555331
0.321,1173.82049445172
0.3215,1173.82070104004
0.322,1173.82090532962
0.3225,1173.82110733179
0.323,1173.8213070578
0.3235,1173.82150451887
0.324,1173.82169972615
0.3245,1173.82189269076
0.325,1173.82208342374
0.3255,1173.82227193611
0.326,1173.8224582388
0.3265,1173.82264234274
0.327,1173.82282425875
0.3275,1173.82300399766
0.328,1173.82318157019
0.3285,1173.82335698707
0.329,1173.82353025893
0.3295,1173.82370139638
0.33,1173.82387040997
0.3305,1173.8240373102
0.331,1173.82420210752
0.3315,1173.82436481234
0.332,1173.82452543501
0.3325,1173.82468398584
0.333,1173.82484047509
0.3335,1173.82499491298
0.334,1173.82514730965
0.3345,1173.82529767523
0.335,1173.8254460198
0.3355,1173.82559235336
0.336,1173.82573668589
0.3365,1173.82587902733
0.337,1173.82601938755
0.3375,1173.82615777638
0.338,1173.82629420363
0.3385,1173.82642867902
0.339,1173.82656121225
0.3395,1173.82669181299
0.34,1173.82682049083
0.3405,1173.82694725533
0.341,1173.82707211601
0.3415,1173.82719508235
0.342,1173.82731616376
0.3425,1173.82743536964
0.343,1173.82755270932
0.3435,1173.82766819209
0.344,1173.82778182721
0.3445,1173.82789362388
