Physical Time: Physical Time (s),star,cowan,parker,rectangle,star/ana
0.0005,1473.0000000000,1472.847498,1473,1473.00000000000,1
0.001,1473.0000000000,1472.960149,1473,1473.00000000000,1
0.0015,1473.0000000000,1472.989635,1473,1473.00000000000,1
0.002,1473.0000000000,1472.997317,1473,1473.00000000000,1
0.0025,1473.0000000000,1472.999308,1473.000341,1473.00000000000,1
0.003,1473.0000000000,1472.999823,1473.000076,1473.00000000000,1
0.0035,1473.0000000000,1472.999955,1473.000017,1473.00000000000,1
0.004,1473.0000000000,1472.999988,1473.000004,1473.00000000000,1
0.0045,1473.0000010000,1472.999997,1473.000001,1473.00041060425,0.999999721
0.005,1473.0000010000,1472.999999,1473,1473.00041240776,0.99999972
0.0055,1473.0000010000,1473,1473,1473.00041257953,0.99999972
0.006,1473.0000010000,1473,1473,1473.00041233763,0.99999972
0.0065,1473.0000020000,1473,1473,1473.00041199091,0.99999972
0.007,1473.0000030000,1473,1473,1473.00041161742,0.999999721
0.0075,1473.0000040000,1473,1473,1473.00041123683,0.999999721
0.008,1473.0000050000,1473,1473,1473.00041085411,0.999999721
0.0085,1473.0000060000,1473,1473,1473.00041047052,0.999999721
0.009,1473.0000080000,1473,1473,1473.00041008637,0.999999722
0.0095,1473.0000100000,1473,1473,1473.00040970177,0.999999722
0.01,1473.0000130000,1473,1473,1473.00040931676,0.999999722
0.0105,1473.0000170000,1473,1473,1473.00040893137,0.999999722
0.011,1473.0000210000,1473,1473,1473.00040854561,0.999999723
0.0115,1473.0000250000,1473,1473,1473.00040815949,0.999999723
0.012,1473.0000310000,1473,1473,1473.00040777305,0.999999723
0.0125,1473.0000380000,1473,1473,1473.00040738630,0.999999723
0.013,1473.0000460000,1473,1473,1473.00040699925,0.999999724
0.0135,1473.0000550000,1473,1473,1473.00040661193,0.999999725
0.014,1473.0000650000,1473,1473,1473.00040622437,0.999999725
0.0145,1473.0000770000,1473,1473,1473.00040583662,0.999999725
0.015,1473.0000910000,1473,1473,1473.00040544875,0.999999725
0.0155,1473.0001070000,1473,1473,1473.00040506088,0.999999726
0.016,1473.0001250000,1473,1473,1473.00040467323,0.999999727
0.0165,1473.0001450000,1473,1473,1473.00040428611,0.999999728
0.017,1473.0001680000,1473,1473,1473.00040390003,0.999999729
0.0175,1473.0001940000,1473,1473,1473.00040351578,0.99999973
0.018,1473.0002230000,1473,1473,1473.00040313451,0.999999732
0.0185,1473.0002540000,1473,1473,1473.00040275789,0.999999733
0.019,1473.0002900000,1473,1473,1473.00040238828,0.999999736
0.0195,1473.0003290000,1473,1473,1473.00040202892,0.999999739
0.02,1473.0003720000,1473,1473,1473.00040168417,0.999999742
0.0205,1473.0004200000,1473,1473,1473.00040135982,0.999999744
0.021,1473.0004720000,1473,1473,1473.00040106335,0.999999749
