Physical Time: Physical Time (s),star
0.0005,1473
0.001,1473
0.0015,1473
0.002,1473
0.0025,1473
0.003,1473
0.0035,1473
0.004,1473
0.0045,1473
0.005,1473
0.0055,1473
0.006,1473
0.0065,1473
0.007,1473
0.0075,1473
0.008,1473
0.0085,1473
0.009,1473
0.0095,1473
0.01,1473
0.0105,1473
0.011,1473
0.0115,1473
0.012,1473
0.0125,1473
0.013,1473
0.0135,1473.000001
0.014,1473.000001
0.0145,1473.000001
0.015,1473.000001
0.0155,1473.000002
0.016,1473.000003
0.0165,1473.000004
0.017,1473.000005
0.0175,1473.000006
0.018,1473.000008
0.0185,1473.00001
0.019,1473.000013
0.0195,1473.000017
0.02,1473.000021
0.0205,1473.000025
0.021,1473.000031
0.0215,1473.000038
0.022,1473.000046
0.0225,1473.000055
0.023,1473.000065
0.0235,1473.000077
0.024,1473.000091
0.0245,1473.000107
0.025,1473.000125
0.0255,1473.000145
0.026,1473.000168
0.0265,1473.000194
0.027,1473.000223
0.0275,1473.000254
0.028,1473.00029
0.0285,1473.000329
0.029,1473.000372
0.0295,1473.00042
0.03,1473.000472
0.0305,1473.00053
0.031,1473.000592
0.0315,1473.00066
0.032,1473.000734
0.0325,1473.000814
0.033,1473.0009
0.0335,1473.000993
0.034,1473.001094
0.0345,1473.001202
0.035,1473.001318
0.0355,1473.001442
0.036,1473.001574
0.0365,1473.001716
0.037,1473.001866
0.0375,1473.002027
0.038,1473.002197
0.0385,1473.002377
0.039,1473.002568
0.0395,1473.00277
0.04,1473.002983
0.0405,1473.003208
0.041,1473.003444
0.0415,1473.003693
0.042,1473.003954
0.0425,1473.004229
0.043,1473.004516
0.0435,1473.004817
0.044,1473.005131
0.0445,1473.00546
0.045,1473.005803
0.0455,1473.00616
0.046,1473.006532
0.0465,1473.00692
0.047,1473.007322
0.0475,1473.007741
0.048,1473.008175
0.0485,1473.008625
0.049,1473.009091
0.0495,1473.009573
0.05,1473.010073
0.0505,1473.010589
0.051,1473.011122
0.0515,1473.011672
0.052,1473.012239
0.0525,1473.012824
0.053,1473.013427
0.0535,1473.014047
0.054,1473.014685
0.0545,1473.015341
0.055,1473.016014
0.0555,1473.016706
0.056,1473.017416
0.0565,1473.018145
0.057,1473.018891
0.0575,1473.019656
0.058,1473.02044
0.0585,1473.021241
0.059,1473.022061
0.0595,1473.0229
0.06,1473.023757
0.0605,1473.024633
0.061,1473.025527
0.0615,1473.026439
0.062,1473.02737
0.0625,1473.028319
0.063,1473.029286
0.0635,1473.030272
0.064,1473.031276
0.0645,1473.032298
0.065,1473.033339
0.0655,1473.034397
0.066,1473.035473
0.0665,1473.036567
0.067,1473.037679
0.0675,1473.038808
0.068,1473.039955
0.0685,1473.04112
0.069,1473.042301
0.0695,1473.0435
0.07,1473.044716
0.0705,1473.045949
0.071,1473.047199
0.0715,1473.048465
0.072,1473.049748
0.0725,1473.051047
0.073,1473.052363
0.0735,1473.053694
0.074,1473.055041
0.0745,1473.056404
0.075,1473.057783
0.0755,1473.059177
0.076,1473.060586
0.0765,1473.062011
0.077,1473.06345
0.0775,1473.064904
0.078,1473.066372
0.0785,1473.067855
0.079,1473.069352
0.0795,1473.070863
0.08,1473.072387
0.0805,1473.073925
0.081,1473.075477
0.0815,1473.077041
0.082,1473.078619
0.0825,1473.080209
0.083,1473.081812
0.0835,1473.083428
0.084,1473.085055
0.0845,1473.086695
0.085,1473.088346
0.0855,1473.090009
0.086,1473.091684
0.0865,1473.093369
0.087,1473.095066
0.0875,1473.096773
0.088,1473.098491
0.0885,1473.100219
0.089,1473.101958
0.0895,1473.103706
0.09,1473.105464
0.0905,1473.107232
0.091,1473.109009
0.0915,1473.110796
0.092,1473.112591
0.0925,1473.114395
0.093,1473.116208
0.0935,1473.118029
0.094,1473.119858
0.0945,1473.121695
0.095,1473.123541
0.0955,1473.125393
0.096,1473.127253
0.0965,1473.129121
0.097,1473.130995
0.0975,1473.132876
0.098,1473.134764
0.0985,1473.136659
0.099,1473.13856
0.0995,1473.140466
0.1,1473.142379
0.1005,1473.144298
0.101,1473.146222
0.1015,1473.148151
0.102,1473.150086
0.1025,1473.152025
0.103,1473.15397
0.1035,1473.155919
0.104,1473.157873
0.1045,1473.159831
0.105,1473.161793
0.1055,1473.16376
0.106,1473.16573
0.1065,1473.167704
0.107,1473.169682
0.1075,1473.171663
0.108,1473.173647
0.1085,1473.175634
0.109,1473.177624
0.1095,1473.179617
0.11,1473.181613
0.1105,1473.183611
0.111,1473.185611
0.1115,1473.187614
0.112,1473.189618
0.1125,1473.191625
0.113,1473.193633
0.1135,1473.195643
